Continent;Region;Country;Criminality avg,;Criminal markets avg,;Human trafficking;Human smuggling;Arms trafficking;Flora crimes;Fauna crimes;Non-renewable resource crimes;Heroin trade;Cocaine trade;Cannabis trade;Synthetic drug trade;Cyber-dependent crimes;Financial crimes;Trade in counterfeit goods;Illicit trade in excisable goods;Extortion and protection racketeering;Criminal actors avg,;Mafia-style groups;Criminal networks;State-embedded actors;Foreign actors;Private sector actors;Resilience avg,;Political leadership and governance;Government transparency and accountability;International cooperation;National policies and laws;Judicial system and detention;Law enforcement;Territorial integrity;Anti-money laundering;Economic regulatory capacity;Victim and witness support;Prevention;Non-state actors
Asia;Southern Asia;Afghanistan;7.10;7.00;9.00;9.50;9.00;5.50;3.50;6.50;9.50;1.00;7.50;9.00;4.00;7.50;8.50;9.00;6.00;7.20;5.00;8.00;9.00;6.00;8.00;1.50;1.50;1.00;1.00;1.50;1.50;1.50;3.50;1.00;1.50;1.50;1.50;1.00
Africa;North Africa;Libya;6.93;6.57;8.50;9.50;9.00;1.00;3.50;9.50;2.50;5.50;7.00;7.50;3.50;9.50;6.00;7.00;9.00;7.30;9.00;7.50;9.50;5.50;5.00;1.54;1.50;1.50;2.50;2.00;1.50;1.50;1.50;1.00;2.00;1.00;1.00;1.50
Asia;South-Eastern Asia;Myanmar;8.15;7.70;8.50;8.00;9.00;8.50;8.50;9.00;9.50;3.50;4.50;10.00;7.50;8.50;6.00;7.00;7.50;8.60;9.50;8.00;9.00;9.00;7.50;1.63;1.50;1.50;2.00;2.00;1.50;1.50;2.00;2.00;1.50;1.00;1.50;1.50
Asia;Western Asia;Yemen;6.57;5.63;9.00;9.00;9.50;2.50;4.00;7.50;2.50;2.00;4.00;4.50;1.50;8.00;6.50;6.00;8.00;7.50;7.00;8.00;8.00;8.50;6.00;1.75;1.50;1.50;3.00;2.00;1.50;2.00;1.50;2.00;2.00;1.00;1.00;2.00
Africa;Central Africa;Central African Republic;6.75;5.60;7.50;5.50;9.00;7.00;8.00;10.00;1.50;1.50;3.50;7.00;2.00;3.50;7.00;4.50;6.50;7.90;8.00;8.00;9.00;9.00;5.50;1.79;1.50;1.50;3.00;2.00;2.00;1.50;1.50;2.00;1.50;2.50;1.00;1.50
Africa;East Africa;Somalia;6.13;5.27;8.00;7.50;9.00;7.00;5.50;3.00;2.50;2.00;2.00;2.50;2.50;7.00;6.00;5.00;9.50;7.00;9.50;7.50;7.00;5.50;5.50;1.79;1.50;1.00;2.50;2.50;2.00;1.50;1.50;2.00;1.50;1.00;1.50;3.00
Asia;Eastern Asia;Korea, DPR;4.82;5.73;8.50;6.50;9.00;3.00;3.00;7.50;4.00;1.50;5.00;8.00;9.00;8.00;7.50;4.00;1.50;3.90;1.00;3.00;10.00;4.50;1.00;1.79;3.00;1.00;2.00;2.00;1.00;1.50;6.00;1.00;1.00;1.00;1.00;1.00
Americas;South America;Venezuela;6.72;6.03;7.50;7.50;8.00;3.50;3.00;9.00;2.00;9.00;7.00;3.00;3.50;8.00;5.50;6.50;7.50;7.40;9.50;5.00;9.00;7.50;6.00;1.88;2.00;1.50;1.50;2.00;1.50;1.50;3.00;2.00;2.00;1.50;2.00;2.00
Africa;East Africa;South Sudan;6.32;5.13;8.50;5.50;8.00;7.00;6.50;8.50;2.00;1.50;4.00;1.00;1.00;7.50;6.00;5.00;5.00;7.50;5.00;7.50;9.00;8.00;8.00;1.88;2.00;1.50;2.00;3.00;2.00;2.00;1.50;1.50;2.50;1.00;1.50;2.00
Asia;Western Asia;Syria;7.07;6.43;8.50;9.00;9.00;1.50;3.50;8.50;3.00;2.50;7.50;10.00;4.50;8.00;6.50;6.50;8.00;7.70;4.50;9.00;10.00;8.00;7.00;1.92;2.00;1.00;3.50;2.00;1.50;2.00;1.50;2.00;2.00;2.00;2.00;1.50
Americas;Caribbean & Central;Nicaragua;5.72;5.23;7.00;6.00;6.00;6.00;6.00;6.50;2.50;8.00;6.00;3.50;3.50;4.00;6.00;5.50;2.00;6.20;5.00;6.50;9.00;6.50;4.00;2.08;1.50;1.00;2.00;3.00;2.00;2.50;2.50;2.50;2.00;2.00;3.00;1.00
